time,epoch,lr,train_loss
2025-02-14 23:44:01.023983,0,2.1429e-05,0.11563082628635069
2025-02-14 23:53:16.284052,1,4.2857e-05,0.06580343140879018
2025-02-15 00:02:32.293377,2,6.4286e-05,0.054797659024091686
2025-02-15 00:11:46.644836,3,8.5714e-05,0.05362903546724314
2025-02-15 00:21:01.224438,4,0.00010714,0.0509472295033823
2025-02-15 00:30:16.198680,5,0.00012857,0.05086473217688026
2025-02-15 00:39:32.084562,6,0.00015,0.04862593305956882
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_right,val_average_precision_left,val_average_precision_0,val_binary_accuracy,val_binary_accuracy_right,val_binary_accuracy_left,val_binary_accuracy_0
2025-02-15 05:55:45.172649,21,4.6568e-05,0.03076874855127238,0.07583344990361159,0.8955737549234829,0.9794792821911148,0.9855646208659601,0.7216773617133735,0.9373146971622194,0.9158831003811944,0.9240152477763659,0.9720457433290979
2025-02-15 06:09:54.423232,22,4.0565e-05,0.03053906381183332,0.0763308968234017,0.8780556537298239,0.9788461717913747,0.9856343989136858,0.6696863904844113,0.9421431596781025,0.9252858958068615,0.9283354510800508,0.9728081321473951
2025-02-15 06:24:04.144944,23,3.4846e-05,0.030605640531791618,0.08058374710648199,0.8888078499702289,0.9779686858917753,0.9860537730234498,0.7024010909954617,0.9390088945362134,0.9229987293519695,0.9209656925031766,0.9730622617534943
2025-02-15 06:38:14.424312,24,2.9456e-05,0.028813208069140568,0.08050191254165184,0.8823241482597842,0.9803999213962157,0.9842287272748695,0.6823437961082676,0.9352816603134265,0.9174078780177891,0.9174078780177891,0.9710292249047014
2025-02-15 06:52:23.036835,25,2.4439e-05,0.02768349393812963,0.07962788768689626,0.8779252449098217,0.9775833867007169,0.9829131669559259,0.6732791810728226,0.9382465057179162,0.9222363405336722,0.9209656925031766,0.9715374841168997
2025-02-15 07:06:33.221735,26,1.9834e-05,0.029825311998443783,0.08943192152162617,0.8865324878274667,0.9782744971517293,0.9818620194875178,0.699460946843153,0.9333333333333332,0.9237611181702668,0.9026683608640407,0.9735705209656925
2025-02-15 07:20:43.835897,27,1.568e-05,0.02811430473858856,0.08167048306858288,0.8910560481380783,0.9794540508230704,0.9834702212988395,0.7102438722923249,0.9375688267683184,0.919695044472681,0.919440914866582,0.9735705209656925
2025-02-15 07:34:51.632663,28,1.201e-05,0.026622898865990795,0.08343034336896057,0.8846891621469956,0.9780862819130803,0.9837184867646945,0.6922627177632115,0.9359593392630242,0.9224904701397713,0.9135959339263025,0.9717916137229987
2025-02-15 07:49:00.695039,29,8.8531e-06,0.026160157962422086,0.08412584029618418,0.8776109973510616,0.9786532857942426,0.9822851815626256,0.671894524696317,0.9359593392630242,0.9242693773824651,0.9120711562897077,0.9715374841168997
2025-02-15 08:03:09.301933,30,6.2346e-06,0.02631555833217862,0.09256217783212282,0.8720815593393066,0.9754936966028731,0.9825732221696569,0.6581777592453901,0.9312155866158408,0.9199491740787802,0.9031766200762389,0.9705209656925031
2025-02-15 08:17:17.729789,31,4.1758e-06,0.02508758988264893,0.08906066272399589,0.8813573304683611,0.9760654510447693,0.9833176322817554,0.6846889080785586,0.9341804320203305,0.9191867852604828,0.912579415501906,0.9707750952986023
2025-02-15 08:31:25.902054,32,2.6932e-06,0.025631927699760148,0.09217772563765199,0.8776131149976809,0.9754153187258975,0.9833628120544318,0.6740612142127134,0.9330792037272343,0.919695044472681,0.908005082592122,0.9715374841168997
2025-02-15 08:45:36.120698,33,1.7989e-06,0.02590231899486389,0.09195230262489074,0.880911494285983,0.9751778097926782,0.9837813475789423,0.6837753254863288,0.9337568826768319,0.9222363405336722,0.9074968233799238,0.9715374841168997
2025-02-15 08:59:48.998081,34,1.5e-06,0.02666696078548072,0.09261499627401085,0.8802215008104964,0.9755731175177309,0.9835086762202137,0.6815827086935451,0.9335027530707327,0.9209656925031766,0.9082592121982211,0.9712833545108005
